CookerStat, GenerateAssetRegistry=0.014901, Initialize=0.079490, RunGuid=RunIDDDEEC5CF409DDBF89400A2936BAE647C
SavePackageTransactionId83F69ED6455921B833C1E8937AC8EA9E_0, Filename=../../../../../../Documents/Developer/Unreal Engine Projects/Under Development/Bouturon/Content/Geometry/Mannequin/Character/Mesh/SK_Mannequin_Skeleton.uasset, AutoPackageBackupDelegate=0.055816, FlushAsyncLoading=0.002924, FlushStreamingFunc=0.097897, BlockTillAllRequestsFinished=0.004385, ResetLoadersForSaveUnMarkAllObjects=0.075981, TagPackageExports=0.020456, BeginCacheForCookedPlatformData=0.000875, SerializeImports=0.228237, GatherLocalizableTextData=0.072770, MarkNames=0.004090, SerializeSummary=0.009645, SerializeNames=0.043251, SerializeGatherableTextData=0.000875, BuildExportMap=0.007600, SortExportsNonSeekfree=0.003505, SortExportsSeekfreeConstructor=0.040621, SortExportsSeekfreeInner=0.057865, SortExportsSeekfree=0.001170, BuildDependencyMap=0.004675, SerializeImportMap=0.004385, SerializeExportMap=0.002336, SerializeDependencyMap=0.000879, SerializeStringAssetReferenceMap=0.001170, SaveThumbNailsAssetRegistryDataWorldLevelInfo=0.020746, SerializeExports=0.241976, SerializeBulkData=0.007596, MoveFile=1.848992, UnaccountedTime=0.591781, RunGuid=RunIDDDEEC5CF409DDBF89400A2936BAE647C
SavePackageTransactionId83F69ED6455921B833C1E8937AC8EA9E_1, Filename=../../../../../../Documents/Developer/Unreal Engine Projects/Under Development/Bouturon/Content/Geometry/Mannequin/Animations/ThirdPersonJump_End.uasset, AutoPackageBackupDelegate=0.043251, FlushAsyncLoading=0.002045, FlushStreamingFunc=0.177972, BlockTillAllRequestsFinished=0.002339, ResetLoadersForSaveUnMarkAllObjects=0.050265, TagPackageExports=0.038285, BeginCacheForCookedPlatformData=0.000875, SerializeImports=0.234667, GatherLocalizableTextData=0.278503, MarkNames=0.003800, SerializeSummary=0.006430, SerializeNames=0.047341, SerializeGatherableTextData=0.000879, BuildExportMap=0.012275, SortExportsNonSeekfree=0.006720, SortExportsSeekfreeConstructor=0.004385, SortExportsSeekfreeInner=0.211872, SortExportsSeekfree=0.001170, BuildDependencyMap=0.004675, SerializeImportMap=0.004385, SerializeExportMap=0.002921, SerializeDependencyMap=0.000879, SerializeStringAssetReferenceMap=0.000875, SaveThumbNailsAssetRegistryDataWorldLevelInfo=5.951431, SerializeExports=0.245478, SerializeBulkData=0.002339, MoveFile=2.222471, UnaccountedTime=0.748131, RunGuid=RunIDDDEEC5CF409DDBF89400A2936BAE647C
SavePackageTransactionId83F69ED6455921B833C1E8937AC8EA9E_2, Filename=../../../../../../Documents/Developer/Unreal Engine Projects/Under Development/Bouturon/Content/Geometry/Mannequin/Animations/ThirdPersonJump_Loop.uasset, AutoPackageBackupDelegate=0.044126, FlushAsyncLoading=0.002049, FlushStreamingFunc=0.136182, BlockTillAllRequestsFinished=0.003505, ResetLoadersForSaveUnMarkAllObjects=0.056110, TagPackageExports=0.053771, BeginCacheForCookedPlatformData=0.000585, SerializeImports=0.239633, GatherLocalizableTextData=0.283767, MarkNames=0.003796, SerializeSummary=0.005845, SerializeNames=0.049390, SerializeGatherableTextData=0.000875, BuildExportMap=0.011690, SortExportsNonSeekfree=0.006136, SortExportsSeekfreeConstructor=0.004094, SortExportsSeekfreeInner=0.230867, SortExportsSeekfree=0.001460, BuildDependencyMap=0.004385, SerializeImportMap=0.004090, SerializeExportMap=0.002924, SerializeDependencyMap=0.000875, SerializeStringAssetReferenceMap=0.000879, SaveThumbNailsAssetRegistryDataWorldLevelInfo=5.949676, SerializeExports=0.288732, SerializeBulkData=0.002921, MoveFile=2.178926, UnaccountedTime=0.668056, RunGuid=RunIDDDEEC5CF409DDBF89400A2936BAE647C
SavePackageTransactionId83F69ED6455921B833C1E8937AC8EA9E_3, Filename=../../../../../../Documents/Developer/Unreal Engine Projects/Under Development/Bouturon/Content/Geometry/Mannequin/Animations/ThirdPersonJump_Start.uasset, AutoPackageBackupDelegate=0.051726, FlushAsyncLoading=0.002045, FlushStreamingFunc=0.198722, BlockTillAllRequestsFinished=0.003215, ResetLoadersForSaveUnMarkAllObjects=0.056401, TagPackageExports=0.050265, BeginCacheForCookedPlatformData=0.000875, SerializeImports=0.248108, GatherLocalizableTextData=0.291657, MarkNames=0.004090, SerializeSummary=0.006136, SerializeNames=0.048805, SerializeGatherableTextData=0.000585, BuildExportMap=0.011981, SortExportsNonSeekfree=0.006139, SortExportsSeekfreeConstructor=0.004381, SortExportsSeekfreeInner=0.225026, SortExportsSeekfree=0.001460, BuildDependencyMap=0.004381, SerializeImportMap=0.004381, SerializeExportMap=0.002924, SerializeDependencyMap=0.001170, SerializeStringAssetReferenceMap=0.000875, SaveThumbNailsAssetRegistryDataWorldLevelInfo=6.056342, SerializeExports=0.265352, SerializeBulkData=0.002339, MoveFile=2.183020, UnaccountedTime=0.647306, RunGuid=RunIDDDEEC5CF409DDBF89400A2936BAE647C
SavePackageTransactionId83F69ED6455921B833C1E8937AC8EA9E_4, Filename=../../../../../../Documents/Developer/Unreal Engine Projects/Under Development/Bouturon/Content/Geometry/Mannequin/Animations/ThirdPersonIdle.uasset, AutoPackageBackupDelegate=0.044420, FlushAsyncLoading=0.001755, FlushStreamingFunc=0.147577, BlockTillAllRequestsFinished=0.003215, ResetLoadersForSaveUnMarkAllObjects=0.055525, TagPackageExports=0.106081, BeginCacheForCookedPlatformData=0.000875, SerializeImports=0.292532, GatherLocalizableTextData=0.283178, MarkNames=0.003800, SerializeSummary=0.006136, SerializeNames=0.048514, SerializeGatherableTextData=0.000875, BuildExportMap=0.011690, SortExportsNonSeekfree=0.005551, SortExportsSeekfreeConstructor=0.004094, SortExportsSeekfreeInner=0.282884, SortExportsSeekfree=0.001464, BuildDependencyMap=0.004381, SerializeImportMap=0.004090, SerializeExportMap=0.002924, SerializeDependencyMap=0.000875, SerializeStringAssetReferenceMap=0.000879, SaveThumbNailsAssetRegistryDataWorldLevelInfo=5.771700, SerializeExports=0.384878, SerializeBulkData=0.002630, MoveFile=2.359532, UnaccountedTime=0.701662, RunGuid=RunIDDDEEC5CF409DDBF89400A2936BAE647C
SavePackageTransactionId83F69ED6455921B833C1E8937AC8EA9E_5, Filename=../../../../../../Documents/Developer/Unreal Engine Projects/Under Development/Bouturon/Content/Geometry/Mannequin/Animations/ThirdPersonRun.uasset, AutoPackageBackupDelegate=0.045002, FlushAsyncLoading=0.001755, FlushStreamingFunc=0.152551, BlockTillAllRequestsFinished=0.003211, ResetLoadersForSaveUnMarkAllObjects=0.055525, TagPackageExports=0.054356, BeginCacheForCookedPlatformData=0.000875, SerializeImports=0.246357, GatherLocalizableTextData=0.282302, MarkNames=0.003800, SerializeSummary=0.006430, SerializeNames=0.048216, SerializeGatherableTextData=0.000879, BuildExportMap=0.012275, SortExportsNonSeekfree=0.005845, SortExportsSeekfreeConstructor=0.004090, SortExportsSeekfreeInner=0.231743, SortExportsSeekfree=0.001464, BuildDependencyMap=0.004090, SerializeImportMap=0.004090, SerializeExportMap=0.003215, SerializeDependencyMap=0.000585, SerializeStringAssetReferenceMap=0.000875, SaveThumbNailsAssetRegistryDataWorldLevelInfo=5.982407, SerializeExports=0.282597, SerializeBulkData=0.002630, MoveFile=2.170160, UnaccountedTime=0.651691, RunGuid=RunIDDDEEC5CF409DDBF89400A2936BAE647C
SavePackageTransactionId83F69ED6455921B833C1E8937AC8EA9E_6, Filename=../../../../../../Documents/Developer/Unreal Engine Projects/Under Development/Bouturon/Content/Geometry/Mannequin/Animations/ThirdPersonWalk.uasset, AutoPackageBackupDelegate=0.045300, FlushAsyncLoading=0.002045, FlushStreamingFunc=0.138227, BlockTillAllRequestsFinished=0.003215, ResetLoadersForSaveUnMarkAllObjects=0.056401, TagPackageExports=0.071600, BeginCacheForCookedPlatformData=0.000875, SerializeImports=0.254832, GatherLocalizableTextData=0.285223, MarkNames=0.003800, SerializeSummary=0.005554, SerializeNames=0.049096, SerializeGatherableTextData=0.000585, BuildExportMap=0.011981, SortExportsNonSeekfree=0.005845, SortExportsSeekfreeConstructor=0.004090, SortExportsSeekfreeInner=0.243727, SortExportsSeekfree=0.001460, BuildDependencyMap=0.004385, SerializeImportMap=0.004090, SerializeExportMap=0.002924, SerializeDependencyMap=0.000875, SerializeStringAssetReferenceMap=0.000879, SaveThumbNailsAssetRegistryDataWorldLevelInfo=6.058972, SerializeExports=0.307728, SerializeBulkData=0.002336, MoveFile=2.047710, UnaccountedTime=0.549119, RunGuid=RunIDDDEEC5CF409DDBF89400A2936BAE647C
SavePackageTransactionId83F69ED6455921B833C1E8937AC8EA9E_7, Filename=../../../../../../Documents/Developer/Unreal Engine Projects/Under Development/Bouturon/Content/Geometry/Mannequin/Animations/ThirdPerson_IdleRun_2D.uasset, AutoPackageBackupDelegate=0.043835, FlushAsyncLoading=0.001755, FlushStreamingFunc=0.090886, BlockTillAllRequestsFinished=0.002339, ResetLoadersForSaveUnMarkAllObjects=0.049386, TagPackageExports=0.013150, BeginCacheForCookedPlatformData=0.000879, SerializeImports=0.186447, GatherLocalizableTextData=0.049971, MarkNames=0.004385, SerializeSummary=0.005260, SerializeNames=0.020750, SerializeGatherableTextData=0.000875, BuildExportMap=0.017244, SortExportsNonSeekfree=0.003505, SortExportsSeekfreeConstructor=0.004675, SortExportsSeekfreeInner=0.189077, SortExportsSeekfree=0.001170, BuildDependencyMap=0.004090, SerializeImportMap=0.004090, SerializeExportMap=0.002924, SerializeDependencyMap=0.000875, SerializeStringAssetReferenceMap=0.000585, SaveThumbNailsAssetRegistryDataWorldLevelInfo=6.086152, SerializeExports=0.126831, SerializeBulkData=0.002921, MoveFile=2.128076, UnaccountedTime=0.645556, RunGuid=RunIDDDEEC5CF409DDBF89400A2936BAE647C
SavePackageTransactionId83F69ED6455921B833C1E8937AC8EA9E_8, Filename=../../../../../../Documents/Developer/Unreal Engine Projects/Under Development/Bouturon/Content/Geometry/Mannequin/Animations/ThirdPerson_AnimBP.uasset, AutoPackageBackupDelegate=0.044126, FlushAsyncLoading=0.001755, FlushStreamingFunc=0.086796, BlockTillAllRequestsFinished=0.002336, ResetLoadersForSaveUnMarkAllObjects=0.048220, TagPackageExports=4.628174, BeginCacheForCookedPlatformData=0.001755, SerializeImports=5.163845, GatherLocalizableTextData=4.747994, MarkNames=0.040330, SerializeSummary=0.009060, SerializeNames=0.218302, SerializeGatherableTextData=0.133842, BuildExportMap=0.147581, SortExportsNonSeekfree=0.818267, SortExportsSeekfreeConstructor=0.005551, SortExportsSeekfreeInner=5.474791, SortExportsSeekfree=0.002630, BuildDependencyMap=0.047341, SerializeImportMap=0.011396, SerializeExportMap=0.029225, SerializeDependencyMap=0.005551, SerializeStringAssetReferenceMap=0.001170, SaveThumbNailsAssetRegistryDataWorldLevelInfo=7.011961, SerializeExports=7.322609, SerializeBulkData=0.002924, MoveFile=3.712885, UnaccountedTime=0.584770, RunGuid=RunIDDDEEC5CF409DDBF89400A2936BAE647C
SavePackageTransactionId83F69ED6455921B833C1E8937AC8EA9E_9, Filename=../../../../../../Documents/Developer/Unreal Engine Projects/Under Development/Bouturon/Content/Geometry/Mannequin/Character/Materials/MaterialLayers/T_ML_Rubber_Blue_01_D.uasset, AutoPackageBackupDelegate=0.045005, FlushAsyncLoading=0.002045, FlushStreamingFunc=0.069551, BlockTillAllRequestsFinished=0.002339, ResetLoadersForSaveUnMarkAllObjects=0.050265, TagPackageExports=0.014320, BeginCacheForCookedPlatformData=0.000875, SerializeImports=0.184111, GatherLocalizableTextData=0.035360, MarkNames=0.002630, SerializeSummary=0.004966, SerializeNames=0.014614, SerializeGatherableTextData=0.000585, BuildExportMap=0.008181, SortExportsNonSeekfree=0.003800, SortExportsSeekfreeConstructor=0.004090, SortExportsSeekfreeInner=0.073351, SortExportsSeekfree=0.001170, BuildDependencyMap=0.003509, SerializeImportMap=0.005554, SerializeExportMap=0.002630, SerializeDependencyMap=0.000581, SerializeStringAssetReferenceMap=0.001170, SaveThumbNailsAssetRegistryDataWorldLevelInfo=4.171700, SerializeExports=0.046175, SerializeBulkData=3.868062, MoveFile=2.149995, UnaccountedTime=0.622466, RunGuid=RunIDDDEEC5CF409DDBF89400A2936BAE647C
SavePackageTransactionId83F69ED6455921B833C1E8937AC8EA9E_10, Filename=../../../../../../Documents/Developer/Unreal Engine Projects/Under Development/Bouturon/Content/Geometry/Mannequin/Character/Materials/MaterialLayers/T_ML_Rubber_Blue_01_N.uasset, AutoPackageBackupDelegate=0.044420, FlushAsyncLoading=0.002045, FlushStreamingFunc=0.086505, BlockTillAllRequestsFinished=0.002336, ResetLoadersForSaveUnMarkAllObjects=0.050560, TagPackageExports=0.012275, BeginCacheForCookedPlatformData=0.000875, SerializeImports=0.189953, GatherLocalizableTextData=0.035945, MarkNames=0.002630, SerializeSummary=0.005554, SerializeNames=0.018705, SerializeGatherableTextData=0.000581, BuildExportMap=0.007894, SortExportsNonSeekfree=0.003505, SortExportsSeekfreeConstructor=0.004385, SortExportsSeekfreeInner=0.071596, SortExportsSeekfree=0.001170, BuildDependencyMap=0.003215, SerializeImportMap=0.007596, SerializeExportMap=0.003509, SerializeDependencyMap=0.000585, SerializeStringAssetReferenceMap=0.000875, SaveThumbNailsAssetRegistryDataWorldLevelInfo=1.805738, SerializeExports=0.049096, SerializeBulkData=3.518842, MoveFile=2.304588, UnaccountedTime=0.592951, RunGuid=RunIDDDEEC5CF409DDBF89400A2936BAE647C
