CookerStat, GenerateAssetRegistry=0.026301, Initialize=0.106666, RunGuid=RunID072A143E4E92371944DCB7B6221C7373
DDCTransactionId47C91C444C87AF1C3DA4E5AF63B222A0_0, PutCachedData=, CacheKey=NavCollision_B89838347A4348138EE337A847529C5C_NavCollision_X_5825715B42E8653F6__8CE0297E6672ADD712E24F939CE21599B972B255, StartTime=2016.05.31-19.28.50, HierarchicalDDC=, DataSize=3073, Duration=3.506854, RunGuid=RunID072A143E4E92371944DCB7B6221C7373
SavePackageTransactionId1ED264B940519AAD42D89E9870BBA69A_0, Filename=../../../../../../Documents/Developer/Unreal Engine Projects/Under Development/Bouturon/Content/Mannequin/Character/Mesh/SK_Mannequin_Skeleton.uasset, AutoPackageBackupDelegate=0.060786, FlushAsyncLoading=0.002924, FlushStreamingFunc=0.600256, BlockTillAllRequestsFinished=0.004675, ResetLoadersForSaveUnMarkAllObjects=0.211582, TagPackageExports=0.021625, BeginCacheForCookedPlatformData=0.000879, SerializeImports=0.251323, GatherLocalizableTextData=0.074230, MarkNames=0.004090, SerializeSummary=0.008475, SerializeNames=0.044420, SerializeGatherableTextData=0.000875, BuildExportMap=0.007600, SortExportsNonSeekfree=0.003800, SortExportsSeekfreeConstructor=0.042956, SortExportsSeekfreeInner=0.064295, SortExportsSeekfree=0.001460, BuildDependencyMap=0.004675, SerializeImportMap=0.004385, SerializeExportMap=0.002921, SerializeDependencyMap=0.000879, SerializeStringAssetReferenceMap=0.002045, SaveThumbNailsAssetRegistryDataWorldLevelInfo=0.021916, SerializeExports=0.272952, SerializeBulkData=0.008181, MoveFile=1.995113, UnaccountedTime=0.716273, RunGuid=RunID072A143E4E92371944DCB7B6221C7373
SavePackageTransactionId1ED264B940519AAD42D89E9870BBA69A_1, Filename=../../../../../../Documents/Developer/Unreal Engine Projects/Under Development/Bouturon/Content/Mannequin/Animations/ThirdPersonJump_End.uasset, AutoPackageBackupDelegate=0.048805, FlushAsyncLoading=0.001751, FlushStreamingFunc=0.162195, BlockTillAllRequestsFinished=0.016071, ResetLoadersForSaveUnMarkAllObjects=0.087086, TagPackageExports=0.038285, BeginCacheForCookedPlatformData=0.000875, SerializeImports=0.241682, GatherLocalizableTextData=0.278793, MarkNames=0.003505, SerializeSummary=0.005845, SerializeNames=0.050850, SerializeGatherableTextData=0.000879, BuildExportMap=0.011686, SortExportsNonSeekfree=0.006430, SortExportsSeekfreeConstructor=0.004090, SortExportsSeekfreeInner=0.218011, SortExportsSeekfree=0.001460, BuildDependencyMap=0.004675, SerializeImportMap=0.004675, SerializeExportMap=0.003215, SerializeDependencyMap=0.000875, SerializeStringAssetReferenceMap=0.000875, SaveThumbNailsAssetRegistryDataWorldLevelInfo=6.070662, SerializeExports=0.258047, SerializeBulkData=0.002630, MoveFile=2.114050, UnaccountedTime=0.664845, RunGuid=RunID072A143E4E92371944DCB7B6221C7373
SavePackageTransactionId1ED264B940519AAD42D89E9870BBA69A_2, Filename=../../../../../../Documents/Developer/Unreal Engine Projects/Under Development/Bouturon/Content/Mannequin/Animations/ThirdPersonJump_Loop.uasset, AutoPackageBackupDelegate=0.053480, FlushAsyncLoading=0.001755, FlushStreamingFunc=0.162777, BlockTillAllRequestsFinished=0.003215, ResetLoadersForSaveUnMarkAllObjects=0.087671, TagPackageExports=0.062831, BeginCacheForCookedPlatformData=0.000585, SerializeImports=0.251617, GatherLocalizableTextData=0.288147, MarkNames=0.004090, SerializeSummary=0.006139, SerializeNames=0.048801, SerializeGatherableTextData=0.000879, BuildExportMap=0.012271, SortExportsNonSeekfree=0.005845, SortExportsSeekfreeConstructor=0.004385, SortExportsSeekfreeInner=0.230867, SortExportsSeekfree=0.001460, BuildDependencyMap=0.004385, SerializeImportMap=0.004090, SerializeExportMap=0.003215, SerializeDependencyMap=0.000879, SerializeStringAssetReferenceMap=0.000585, SaveThumbNailsAssetRegistryDataWorldLevelInfo=5.962826, SerializeExports=0.279669, SerializeBulkData=0.002339, MoveFile=2.072263, UnaccountedTime=0.674777, RunGuid=RunID072A143E4E92371944DCB7B6221C7373
SavePackageTransactionId1ED264B940519AAD42D89E9870BBA69A_3, Filename=../../../../../../Documents/Developer/Unreal Engine Projects/Under Development/Bouturon/Content/Mannequin/Animations/ThirdPersonJump_Start.uasset, AutoPackageBackupDelegate=0.049971, FlushAsyncLoading=0.001755, FlushStreamingFunc=0.140566, BlockTillAllRequestsFinished=0.017535, ResetLoadersForSaveUnMarkAllObjects=0.089716, TagPackageExports=0.051726, BeginCacheForCookedPlatformData=0.000585, SerializeImports=0.260383, GatherLocalizableTextData=0.286393, MarkNames=0.004090, SerializeSummary=0.006430, SerializeNames=0.050265, SerializeGatherableTextData=0.000875, BuildExportMap=0.011984, SortExportsNonSeekfree=0.006430, SortExportsSeekfreeConstructor=0.004381, SortExportsSeekfreeInner=0.230577, SortExportsSeekfree=0.001755, BuildDependencyMap=0.004675, SerializeImportMap=0.003800, SerializeExportMap=0.003215, SerializeDependencyMap=0.000581, SerializeStringAssetReferenceMap=0.001170, SaveThumbNailsAssetRegistryDataWorldLevelInfo=6.205968, SerializeExports=0.281718, SerializeBulkData=0.002630, MoveFile=2.112590, UnaccountedTime=0.668932, RunGuid=RunID072A143E4E92371944DCB7B6221C7373
SavePackageTransactionId1ED264B940519AAD42D89E9870BBA69A_4, Filename=../../../../../../Documents/Developer/Unreal Engine Projects/Under Development/Bouturon/Content/Mannequin/Animations/ThirdPersonIdle.uasset, AutoPackageBackupDelegate=0.047050, FlushAsyncLoading=0.002045, FlushStreamingFunc=0.179727, BlockTillAllRequestsFinished=0.003509, ResetLoadersForSaveUnMarkAllObjects=0.090886, TagPackageExports=0.106666, BeginCacheForCookedPlatformData=0.000879, SerializeImports=0.306558, GatherLocalizableTextData=0.282008, MarkNames=0.003800, SerializeSummary=0.006430, SerializeNames=0.048220, SerializeGatherableTextData=0.000581, BuildExportMap=0.011984, SortExportsNonSeekfree=0.005551, SortExportsSeekfreeConstructor=0.004094, SortExportsSeekfreeInner=0.291068, SortExportsSeekfree=0.001460, BuildDependencyMap=0.004385, SerializeImportMap=0.004970, SerializeExportMap=0.003215, SerializeDependencyMap=0.000875, SerializeStringAssetReferenceMap=0.000879, SaveThumbNailsAssetRegistryDataWorldLevelInfo=5.902331, SerializeExports=0.399783, SerializeBulkData=0.002921, MoveFile=2.258707, UnaccountedTime=0.626266, RunGuid=RunID072A143E4E92371944DCB7B6221C7373
SavePackageTransactionId1ED264B940519AAD42D89E9870BBA69A_5, Filename=../../../../../../Documents/Developer/Unreal Engine Projects/Under Development/Bouturon/Content/Mannequin/Animations/ThirdPersonRun.uasset, AutoPackageBackupDelegate=0.055816, FlushAsyncLoading=0.002339, FlushStreamingFunc=0.032146, BlockTillAllRequestsFinished=0.003505, ResetLoadersForSaveUnMarkAllObjects=0.089426, TagPackageExports=0.055525, BeginCacheForCookedPlatformData=0.000875, SerializeImports=0.256587, GatherLocalizableTextData=0.289313, MarkNames=0.004385, SerializeSummary=0.007015, SerializeNames=0.048511, SerializeGatherableTextData=0.000875, BuildExportMap=0.013735, SortExportsNonSeekfree=0.005554, SortExportsSeekfreeConstructor=0.004675, SortExportsSeekfreeInner=0.234082, SortExportsSeekfree=0.001755, BuildDependencyMap=0.004675, SerializeImportMap=0.004094, SerializeExportMap=0.003215, SerializeDependencyMap=0.000879, SerializeStringAssetReferenceMap=0.000585, SaveThumbNailsAssetRegistryDataWorldLevelInfo=5.984452, SerializeExports=0.281423, SerializeBulkData=0.002630, MoveFile=2.080441, UnaccountedTime=0.668351, RunGuid=RunID072A143E4E92371944DCB7B6221C7373
SavePackageTransactionId1ED264B940519AAD42D89E9870BBA69A_6, Filename=../../../../../../Documents/Developer/Unreal Engine Projects/Under Development/Bouturon/Content/Mannequin/Animations/ThirdPersonWalk.uasset, AutoPackageBackupDelegate=0.049390, FlushAsyncLoading=0.002045, FlushStreamingFunc=0.174467, BlockTillAllRequestsFinished=0.003215, ResetLoadersForSaveUnMarkAllObjects=0.088546, TagPackageExports=0.070140, BeginCacheForCookedPlatformData=0.000875, SerializeImports=0.267398, GatherLocalizableTextData=0.284348, MarkNames=0.004090, SerializeSummary=0.005554, SerializeNames=0.048220, SerializeGatherableTextData=0.000581, BuildExportMap=0.012275, SortExportsNonSeekfree=0.005554, SortExportsSeekfreeConstructor=0.004381, SortExportsSeekfreeInner=0.246942, SortExportsSeekfree=0.001460, BuildDependencyMap=0.004385, SerializeImportMap=0.004385, SerializeExportMap=0.002921, SerializeDependencyMap=0.000879, SerializeStringAssetReferenceMap=0.000875, SaveThumbNailsAssetRegistryDataWorldLevelInfo=6.087907, SerializeExports=0.314444, SerializeBulkData=0.002339, MoveFile=2.070799, UnaccountedTime=0.690266, RunGuid=RunID072A143E4E92371944DCB7B6221C7373
SavePackageTransactionId1ED264B940519AAD42D89E9870BBA69A_7, Filename=../../../../../../Documents/Developer/Unreal Engine Projects/Under Development/Bouturon/Content/Mannequin/Animations/ThirdPerson_IdleRun_2D.uasset, AutoPackageBackupDelegate=0.048220, FlushAsyncLoading=0.002045, FlushStreamingFunc=0.110172, BlockTillAllRequestsFinished=0.003215, ResetLoadersForSaveUnMarkAllObjects=0.090305, TagPackageExports=0.013441, BeginCacheForCookedPlatformData=0.000585, SerializeImports=0.211287, GatherLocalizableTextData=0.050265, MarkNames=0.004385, SerializeSummary=0.005260, SerializeNames=0.021335, SerializeGatherableTextData=0.000875, BuildExportMap=0.016950, SortExportsNonSeekfree=0.004090, SortExportsSeekfreeConstructor=0.004090, SortExportsSeekfreeInner=0.196971, SortExportsSeekfree=0.001751, BuildDependencyMap=0.004094, SerializeImportMap=0.004090, SerializeExportMap=0.002630, SerializeDependencyMap=0.000875, SerializeStringAssetReferenceMap=0.000879, SaveThumbNailsAssetRegistryDataWorldLevelInfo=6.084397, SerializeExports=0.122447, SerializeBulkData=0.002339, MoveFile=2.098560, UnaccountedTime=0.700787, RunGuid=RunID072A143E4E92371944DCB7B6221C7373
SavePackageTransactionId1ED264B940519AAD42D89E9870BBA69A_8, Filename=../../../../../../Documents/Developer/Unreal Engine Projects/Under Development/Bouturon/Content/Mannequin/Animations/ThirdPerson_AnimBP.uasset, AutoPackageBackupDelegate=0.048511, FlushAsyncLoading=0.001751, FlushStreamingFunc=0.036240, BlockTillAllRequestsFinished=0.003505, ResetLoadersForSaveUnMarkAllObjects=0.089716, TagPackageExports=4.847646, BeginCacheForCookedPlatformData=0.002336, SerializeImports=5.530607, GatherLocalizableTextData=4.789200, MarkNames=0.046756, SerializeSummary=0.009354, SerializeNames=0.217423, SerializeGatherableTextData=0.135601, BuildExportMap=0.153717, SortExportsNonSeekfree=0.770047, SortExportsSeekfreeConstructor=0.006720, SortExportsSeekfreeInner=5.471576, SortExportsSeekfree=0.002336, BuildDependencyMap=0.049096, SerializeImportMap=0.011686, SerializeExportMap=0.029225, SerializeDependencyMap=0.004970, SerializeStringAssetReferenceMap=0.001166, SaveThumbNailsAssetRegistryDataWorldLevelInfo=6.774079, SerializeExports=7.240202, SerializeBulkData=0.003800, MoveFile=3.851701, UnaccountedTime=0.778813, RunGuid=RunID072A143E4E92371944DCB7B6221C7373
SavePackageTransactionId1ED264B940519AAD42D89E9870BBA69A_9, Filename=../../../../../../Documents/Developer/Unreal Engine Projects/Under Development/Bouturon/Content/Mannequin/Character/Materials/MaterialLayers/T_ML_Rubber_Blue_01_D.uasset, AutoPackageBackupDelegate=0.046466, FlushAsyncLoading=0.001751, FlushStreamingFunc=0.183236, BlockTillAllRequestsFinished=0.003215, ResetLoadersForSaveUnMarkAllObjects=0.090592, TagPackageExports=0.012565, BeginCacheForCookedPlatformData=0.000585, SerializeImports=0.194047, GatherLocalizableTextData=0.035070, MarkNames=0.002630, SerializeSummary=0.004966, SerializeNames=0.014905, SerializeGatherableTextData=0.001170, BuildExportMap=0.007596, SortExportsNonSeekfree=0.003215, SortExportsSeekfreeConstructor=0.004385, SortExportsSeekfreeInner=0.073936, SortExportsSeekfree=0.001460, BuildDependencyMap=0.003215, SerializeImportMap=0.005551, SerializeExportMap=0.003215, SerializeDependencyMap=0.000875, SerializeStringAssetReferenceMap=0.000875, SaveThumbNailsAssetRegistryDataWorldLevelInfo=4.310221, SerializeExports=0.052895, SerializeBulkData=3.801435, MoveFile=2.177175, UnaccountedTime=0.669226, RunGuid=RunID072A143E4E92371944DCB7B6221C7373
SavePackageTransactionId1ED264B940519AAD42D89E9870BBA69A_10, Filename=../../../../../../Documents/Developer/Unreal Engine Projects/Under Development/Bouturon/Content/Mannequin/Character/Materials/MaterialLayers/T_ML_Rubber_Blue_01_N.uasset, AutoPackageBackupDelegate=0.046175, FlushAsyncLoading=0.002045, FlushStreamingFunc=0.136476, BlockTillAllRequestsFinished=0.003505, ResetLoadersForSaveUnMarkAllObjects=0.087965, TagPackageExports=0.012860, BeginCacheForCookedPlatformData=0.000585, SerializeImports=0.202227, GatherLocalizableTextData=0.035945, MarkNames=0.002630, SerializeSummary=0.005845, SerializeNames=0.018705, SerializeGatherableTextData=0.000585, BuildExportMap=0.011690, SortExportsNonSeekfree=0.003796, SortExportsSeekfreeConstructor=0.004385, SortExportsSeekfreeInner=0.073060, SortExportsSeekfree=0.001170, BuildDependencyMap=0.003505, SerializeImportMap=0.006136, SerializeExportMap=0.002924, SerializeDependencyMap=0.000585, SerializeStringAssetReferenceMap=0.000875, SaveThumbNailsAssetRegistryDataWorldLevelInfo=1.825612, SerializeExports=0.049390, SerializeBulkData=3.463313, MoveFile=2.142981, UnaccountedTime=0.678871, RunGuid=RunID072A143E4E92371944DCB7B6221C7373
