CookerStat, GenerateAssetRegistry=0.016071, Initialize=0.081535, RunGuid=RunID56611EC64DFDC555B011AC8EB69CBAAE
DDCTransactionId9F858E6546CCEA2A1C080789D12C0E6B_0, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_3A3C647F4003414255FB0D86BBC7612__3740EA0E532CC80F7A4332A9A99A4974288C275F, StartTime=2016.06.02-15.12.48, HierarchicalDDC=, DataSize=1756, Duration=2.552994, RunGuid=RunID56611EC64DFDC555B011AC8EB69CBAAE
SavePackageTransactionId70C91CFB4B7D4CC4FBBFC3897D1FD5E2_0, Filename=../../../../../../Documents/Developer/Repositories/Bouturon/Saved/Autosaves/Game/Levels/EndlessRunner_Auto1.umap, AutoPackageBackupDelegate=6.459046, FlushAsyncLoading=0.009354, FlushStreamingFunc=0.046171, BlockTillAllRequestsFinished=0.006430, ResetLoadersForSaveUnMarkAllObjects=25.330618, TagPackageExports=0.713058, BeginCacheForCookedPlatformData=0.002049, SerializeImports=1.209862, GatherLocalizableTextData=2.770420, MarkNames=0.044420, SerializeSummary=0.014316, SerializeNames=0.230286, SerializeGatherableTextData=0.010520, BuildExportMap=0.129752, SortExportsNonSeekfree=0.081245, SortExportsSeekfreeConstructor=0.092637, SortExportsSeekfreeInner=5.532947, SortExportsSeekfree=0.003800, BuildDependencyMap=0.038575, SerializeImportMap=0.019290, SerializeExportMap=0.010811, SerializeDependencyMap=0.003215, SerializeStringAssetReferenceMap=0.001166, SaveThumbNailsAssetRegistryDataWorldLevelInfo=0.495344, SerializeExports=1.361538, SerializeBulkData=0.785828, MoveFile=2.598289, UnaccountedTime=0.170667, RunGuid=RunID56611EC64DFDC555B011AC8EB69CBAAE
DDCTransactionIdB428A28B4AB6E7EAA9204AA2A72E532E_0, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_637BA2B04893307821F1BDBCB0629A6D__1_0_13123_0, StartTime=2016.06.02-16.22.20, HierarchicalDDC=, DataSize=465, Duration=3.301412, RunGuid=RunID56611EC64DFDC555B011AC8EB69CBAAE
DDCTransactionId99682C6B48BE40044F8A3CBD66565689_0, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_B2C74BC94E127A4152A1B7A6CA7389C3__1_0_13123_0, StartTime=2016.06.02-16.22.26, HierarchicalDDC=, DataSize=347, Duration=3.113214, RunGuid=RunID56611EC64DFDC555B011AC8EB69CBAAE
DDCTransactionIdB428A28B4AB6E7EAA9204AA2A72E532E_1, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_86153CA440ADDB62728A1698EDC12896__1_0_13123_0, StartTime=2016.06.02-16.22.26, HierarchicalDDC=, DataSize=451, Duration=3.124904, RunGuid=RunID56611EC64DFDC555B011AC8EB69CBAAE
DDCTransactionId9F858E6546CCEA2A1C080789D12C0E6B_1, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_10A6CD2D4AAC1852C8F891A1AB1C550B__1_0_13123_0, StartTime=2016.06.02-16.22.29, HierarchicalDDC=, DataSize=347, Duration=3.612354, RunGuid=RunID56611EC64DFDC555B011AC8EB69CBAAE
DDCTransactionId99682C6B48BE40044F8A3CBD66565689_1, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_CDAEBC9C4CB988BD0C308892D01FFDB5__1_0_13123_0, StartTime=2016.06.02-16.22.29, HierarchicalDDC=, DataSize=437, Duration=3.326837, RunGuid=RunID56611EC64DFDC555B011AC8EB69CBAAE
DDCTransactionIdB428A28B4AB6E7EAA9204AA2A72E532E_2, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_7856722D47DBA441AED59782C266B34B__1_0_13123_0, StartTime=2016.06.02-16.22.29, HierarchicalDDC=, DataSize=347, Duration=4.971262, RunGuid=RunID56611EC64DFDC555B011AC8EB69CBAAE
DDCTransactionIdB428A28B4AB6E7EAA9204AA2A72E532E_3, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_1973E9EA499F4DEA304994B8C28A733A__1_0_13123_0, StartTime=2016.06.02-16.22.32, HierarchicalDDC=, DataSize=347, Duration=3.002744, RunGuid=RunID56611EC64DFDC555B011AC8EB69CBAAE
DDCTransactionId99682C6B48BE40044F8A3CBD66565689_2, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_98A7E7E6460F6B7899C24BA5E2B8B839__1_0_13123_0, StartTime=2016.06.02-16.22.32, HierarchicalDDC=, DataSize=411, Duration=3.742106, RunGuid=RunID56611EC64DFDC555B011AC8EB69CBAAE
DDCTransactionId9F858E6546CCEA2A1C080789D12C0E6B_2, PutCachedData=, CacheKey=PhysX_1D9C17C451EA4FB88CB7A27536A65DB0_PhysXPC_CD8271584D0BBC15A75AE6B39914C14B__1_0_13123_0, StartTime=2016.06.02-16.22.32, HierarchicalDDC=, DataSize=347, Duration=3.285632, RunGuid=RunID56611EC64DFDC555B011AC8EB69CBAAE
